rank,id,action,category,priority_score,decision,approval_bucket,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at,band,expected_clicks_delta,expected_value_delta,score_status
1,SEO-008,Verify the canonical-domain GSC property and import exact page/query data,Analytics,250.0,Do now,Deferred or blocked,4,5,5,5,1,1,Analytics,GSC access,inputs/input-summary.md; quick-checkup/analytics/baseline-metrics.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
2,SEO-003,"Align metadata, H1, opening copy, capacity, deposit and live-pricing language with the Christmas offer and SSOT",Content,133.33,Do now,Pre-approved small fix,5,4,4,5,1,2,Content,Approved SSOT,quick-checkup/content/content-strategy-report.md; docs/SSOT.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
3,SEO-001,Split the Christmas enquiry into party and pre-order lunch or dinner journeys,UX,125.0,Do now,Pre-approved small fix,5,4,5,5,2,2,UX / Technical,None,strategy-document.md; quick-checkup/ux-cro/ux-cro-report.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
4,SEO-002,"Normalise enquiry times, validate payloads and make management the primary delivery with Graph email fallback",Technical,93.75,Do now,Pre-approved small fix,5,3,5,5,2,2,Technical,Management API credentials,quick-checkup/technical/technical-seo-report.md; tests/api/christmas-enquiry.test.ts,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
5,SEO-005,"Send consistent journey, service, format, party size and CTA-source fields in form events",Analytics,93.75,Do now,Pre-approved small fix,5,3,5,5,2,2,Analytics / Technical,GTM mapping for GA4 delivery,quick-checkup/analytics/tracking-health-check.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
6,SEO-006,Map Christmas funnel events in GTM and configure successful enquiry as GA4 generate_lead,Analytics,75.0,Do now,Deferred or blocked,5,3,5,5,2,3,Analytics,GTM and GA4 access,quick-checkup/analytics/tracking-health-check.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
7,SEO-004,"Use one Christmas sticky action, suppress competing promos and show accessible success confirmation",UX,60.0,Do now,Pre-approved small fix,4,3,4,5,2,2,UX / Technical,Shared sticky and promo components,quick-checkup/ux-cro/ux-cro-report.md; output/playwright/christmas-seo,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
8,SEO-009,Replace the price-bearing long-running Event JSON-LD with accurate non-priced page and service markup,Technical,53.33,Schedule,High-risk approval required,4,4,4,5,2,4,Technical,Explicit schema approval,quick-checkup/technical/technical-seo-report.md; evidence/schema-issues.csv,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
9,SEO-007,"Apply consent requirements to Clarity, LinkedIn and Meta tags",Analytics,50.0,Do now,Deferred or blocked,5,2,5,5,2,3,Analytics / Privacy,GTM access and privacy owner,quick-checkup/analytics/tracking-health-check.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
10,SEO-010,Remove the three Christmas testimonials unless source and permission records are supplied,Content,40.0,Schedule,High-risk approval required,4,2,4,5,1,3,Editorial,Review source or explicit removal approval,quick-checkup/editor/editor-qa-report.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Do now,,,scored
11,SEO-013,Collect page-level mobile Core Web Vitals field or lab evidence,Technical,27.0,Monitor,Deferred or blocked,3,3,3,2,1,1,Technical,PSI API or CrUX coverage,evidence/cwv.csv; evidence/cwv-data-access.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Schedule,,,scored
12,SEO-011,"Prepare an evidence-led keep, merge and remove pass for the remaining long page and FAQ set",Content,11.57,Monitor,High-risk approval required,3,3,3,3,3,4,Editorial,GSC baseline and explicit content-pruning approval,quick-checkup/content/content-strategy-report.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Monitor,,,scored
13,SEO-012,"Differentiate the main, corporate and budget Christmas pages using GSC query ownership",Content,6.0,Monitor,Deferred or blocked,3,3,2,2,3,3,Content,GSC page/query data,quick-checkup/content/content-gap-map.md,forecast skipped -> no demand source (impressions absent),2026-07-10T10:25:37+01:00,Monitor,,,scored
