export_id,query,query_norm,clicks,impressions,ctr,position,cluster_id,scope,level,completeness,truncated,window_start,window_end,reporting_country,search_type,filter_type,filter_value,source_file
gsc-3m-p-pg_0001,the anchor staines,the anchor staines,2,294,0.0068,1.97,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor stanwell moor,the anchor stanwell moor,1,482,0.0021,1.99,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor heathrow,the anchor heathrow,1,213,0.0047,1.97,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor pub heathrow,the anchor pub heathrow,1,178,0.0056,1.83,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor pub stanwell moor,the anchor pub stanwell moor,1,96,0.0104,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor pub heathrow,anchor pub heathrow,1,57,0.0175,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor stanwell,the anchor stanwell,0,151,0,2.13,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor stanwell moor,anchor stanwell moor,0,77,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,where to find live music pubs in heathrow,where to find live music pubs in heathrow,0,68,0,26.62,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,where to find live music pubs in heathrow airport,where to find live music pubs in heathrow airport,0,55,0,50.62,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor beer garden heathrow,the anchor beer garden heathrow,0,46,0,2.07,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor beer garden stanwell moor,the anchor beer garden stanwell moor,0,37,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor pub stanwell moor,anchor pub stanwell moor,0,19,0,1.95,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor pub stanwell,anchor pub stanwell,0,15,0,1.8,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchors near me,anchors near me,0,8,0,55,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,pub bingo near me,pub bingo near me,0,8,0,12.12,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor pub quiz,anchor pub quiz,0,5,0,6.4,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,hope and anchor pub quiz,hope and anchor pub quiz,0,4,0,38.25,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor quiz,anchor quiz,0,3,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor pub quiz,the anchor pub quiz,0,3,0,3.67,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor staines menu,the anchor staines menu,0,3,0,4.67,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor events,anchor events,0,2,0,8,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor lane,anchor lane,0,2,0,66,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,crown and anchor pub quiz,crown and anchor pub quiz,0,2,0,30,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,pubs in stanwell,pubs in stanwell,0,2,0,66,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor events,the anchor events,0,2,0,7,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,"the anchor, stanwell moor","the anchor, stanwell moor",0,2,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the rising sun stanwell,the rising sun stanwell,0,2,0,58.5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,activities,activities,0,1,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,adult meetings,adult meetings,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor club,anchor club,0,1,0,55,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor cowes,anchor cowes,0,1,0,66,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,anchor entertainment,anchor entertainment,0,1,0,42,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,bingo events near me,bingo events near me,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,bingo near me,bingo near me,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,events at pubs near me,events at pubs near me,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,monday night pub quiz near me,monday night pub quiz near me,0,1,0,6,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,music bingo near me,music bingo near me,0,1,0,9,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,nightlife stanmore,nightlife stanmore,0,1,0,66,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,pub quiz bingo,pub quiz bingo,0,1,0,55,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,pub quiz on thursday near me,pub quiz on thursday near me,0,1,0,7,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,pub quiz tonight,pub quiz tonight,0,1,0,88,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,social events near me,social events near me,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the anchor stanwell moor pub,the anchor stanwell moor pub,0,1,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,the ancor,the ancor,0,1,0,12,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,where can i play bingo near me,where can i play bingo near me,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0001,where to meet new friends,where to meet new friends,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/whats-on$,raw/gsc-3m-p-pg_0001/Queries.csv
gsc-3m-p-pg_0002,trivia night in surrey,trivia night in surrey,0,15,0,3.33,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,the anchor pub quiz,the anchor pub quiz,0,12,0,4.92,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz near me,pub quiz near me,0,6,0,4.67,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,anchor pub quiz,anchor pub quiz,0,5,0,4.6,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,trivia night in london,trivia night in london,0,5,0,11,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,best pub quizzes in london,best pub quizzes in london,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,do i pay to enter,do i pay to enter,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,do we need to book?,do we need to book?,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,english pub quiz,english pub quiz,0,1,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,entry fees,entry fees,0,1,0,6,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,friday night quiz near me,friday night quiz near me,0,1,0,9,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,friday pub quiz,friday pub quiz,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,is it a party place?,is it a party place?,0,1,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,party quiz questions,party quiz questions,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz on a wednesday near me,pub quiz on a wednesday near me,0,1,0,11,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz on wednesday near me,pub quiz on wednesday near me,0,1,0,12,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz tonight near me,pub quiz tonight near me,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz wednesday,pub quiz wednesday,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quiz wednesday near me,pub quiz wednesday near me,0,1,0,12,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub quizzes near me,pub quizzes near me,0,1,0,11,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,pub wuiz near me,pub wuiz near me,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,quiz near me,quiz near me,0,1,0,11,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,staines and ashford news,staines and ashford news,0,1,0,4,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,staines day 2026,staines day 2026,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,tuesday pub quiz,tuesday pub quiz,0,1,0,2,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,wednesday night pub quiz,wednesday night pub quiz,0,1,0,8,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,wednesday pub quiz near me,wednesday pub quiz near me,0,1,0,10,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,whats on staines,whats on staines,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0002,where to meet new friends,where to meet new friends,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/quiz-night$,raw/gsc-3m-p-pg_0002/Queries.csv
gsc-3m-p-pg_0004,music bingo near me,music bingo near me,0,3,0,2.33,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/music-bingo$,raw/gsc-3m-p-pg_0004/Queries.csv
gsc-3m-p-pg_0004,bingo anchor,bingo anchor,0,1,0,4,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/music-bingo$,raw/gsc-3m-p-pg_0004/Queries.csv
gsc-3m-p-pg_0005,pub bingo near me,pub bingo near me,0,31,0,22.48,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,cash bingo near me,cash bingo near me,0,7,0,10,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,where to meet people,where to meet people,0,3,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,bar bingo near me,bar bingo near me,0,2,0,40.5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,bingo near me,bingo near me,0,2,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,which bingo site has the best snowball jackpot games?,which bingo site has the best snowball jackpot games?,0,2,0,4,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,activities near me for adults,activities near me for adults,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,anchor bingo,anchor bingo,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,anglers retreat staines,anglers retreat staines,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,bingo books,bingo books,0,1,0,6,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,bingo boston,bingo boston,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,pub events,pub events,0,1,0,1,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,snowball jackpot bingo,snowball jackpot bingo,0,1,0,9,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,staines and ashford news,staines and ashford news,0,1,0,4,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,staines day 2026,staines day 2026,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,what is the snowball,what is the snowball,0,1,0,3,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,whats on in staines,whats on in staines,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
gsc-3m-p-pg_0005,whats on staines,whats on staines,0,1,0,5,,page-group,query,named-subset,false,2026-06-12,2026-09-11,GB,web,page,+^https://www[.]the-anchor[.]pub/cash-bingo$,raw/gsc-3m-p-pg_0005/Queries.csv
